scenario,category,gewas,gewascode,affected_area_ha,affected_features,so_euro_per_ha_year,coefficient_source,annual_standard_output_euro,coefficient_mapped,coefficient_method
Connectivity focused,Grasland,"Grasland, blijvend ",265,388.705,575,1250.0,WUR SO-2020,485881.25,True,Direct crop match
Connectivity focused,Bouwland,"Mais, snij-",259,186.2526,179,1800.0,WUR SO-2020,335254.68,True,Direct crop match
Connectivity focused,Grasland,"Grasland, tijdelijk ",266,160.377,145,1250.0,WUR SO-2020,200471.25,True,Direct crop match
Connectivity focused,Bouwland,"Aardappelen, consumptie",2014,38.9961,6,8620.0,WUR SO-2020,336146.38,True,Direct crop match
Connectivity focused,Bouwland,"Aardappelen, zetmeel ",2017,38.9824,12,4030.0,WUR SO-2020,157099.07,True,Direct crop match
Connectivity focused,Bouwland,"Rogge, korrelgewas",7130,34.6314,21,1160.0,WUR SO-2020,40172.42,True,Direct crop match
Connectivity focused,Bouwland,"Mais, korrel-",316,16.4558,16,1680.0,WUR SO-2020,27645.74,True,Direct crop match
Connectivity focused,Bouwland,"Uien, gele zaai-",6660,14.4451,9,8100.0,WUR SO-2020,117005.31,True,Direct crop match
Connectivity focused,Bouwland,"Bieten, suiker-",256,11.086,4,3440.0,WUR SO-2020,38135.84,True,Direct crop match
Connectivity focused,Bouwland,"Aardappelen, poot NAK",2015,7.94,5,11700.0,WUR SO-2020,92898.0,True,Direct crop match
Connectivity focused,Grasland,"Grasland, natuurlijk. Met landbouwactiviteiten. ",331,7.4456,162,374.0,WUR SO-2020,2784.65,True,Direct crop match
Connectivity focused,Landschapselement,Sloot,343,7.0939,405,0.0,Non-productive landscape element,0.0,True,Direct crop match
Connectivity focused,Bouwland,"Tarwe, winter-",233,6.9311,2,2390.0,WUR SO-2020,16565.33,False,Direct crop match
Connectivity focused,Bouwland,Luzerne ,258,6.5088,2,1050.0,WUR SO-2020,6834.24,True,Direct crop match
Connectivity focused,Bouwland,"Gerst, zomer-",236,6.1079,4,1530.0,WUR SO-2020,9345.09,False,Direct crop match
Connectivity focused,Bouwland,"Uien, rode zaai-",6664,6.0585,1,8100.0,WUR SO-2020,49073.85,True,Direct crop match
Connectivity focused,Landschapselement,Houtwal en houtsingel,2621,4.2131,131,0.0,Non-productive landscape element,0.0,True,Direct crop match
Connectivity focused,Bouwland,"Lelie, overige bloemkwekerijgewassen",979,3.6816,2,36000.0,Proxy: lily production,132537.6,False,Related-crop proxy
Connectivity focused,Bouwland,"Lelie, bloembollen en -knollen",1002,3.2381,3,36000.0,WUR SO-2020,116571.6,True,Direct crop match
Connectivity focused,Natuurterrein,Natuurterreinen (incl. heide),335,3.1368,89,0.0,Non-productive land assumption,0.0,False,Zero-output class
Connectivity focused,Bouwland,"Granen, overig",2652,3.1134,4,1530.0,Proxy: summer barley,4763.5,False,Related-crop proxy
Connectivity focused,Bouwland,Zoete aardappelen ,6632,3.0004,1,8620.0,Proxy: consumption potatoes,25863.45,False,Related-crop proxy
Connectivity focused,Bouwland,Zonnekroon,656,2.7842,2,1800.0,Area-weighted median proxy for Bouwland,5011.56,False,Category-median proxy
Connectivity focused,Bouwland,"Gerst, winter-",235,2.7287,1,1950.0,WUR SO-2020,5320.96,False,Direct crop match
Connectivity focused,Bouwland,"Italiaans raaigras, groenbemesting, vanggewas",6755,2.7033,8,0.0,WUR SO-2020: no production,0.0,True,Direct crop match
Connectivity focused,Bouwland,"Uien, poot en plant, 1e jaars ",1932,2.5766,3,8100.0,Proxy: field onions,20870.46,False,Related-crop proxy
Connectivity focused,Bouwland,Miscanthus (olifantsgras) ,516,2.4257,5,1170.0,Proxy: energy maize,2838.07,False,Related-crop proxy
Connectivity focused,Bouwland,"Mais, corncob mix ",317,2.4234,1,1430.0,WUR SO-2020,3465.46,True,Direct crop match
Connectivity focused,Bouwland,Triticale ,314,2.0109,2,1280.0,WUR SO-2020,2573.95,True,Direct crop match
Connectivity focused,Bouwland,"Groene braak, spontane opkomst",6794,2.0052,34,0.0,WUR SO-2020: no production,0.0,True,Direct crop match
Connectivity focused,Bouwland,Soedangras/Sorghum,3519,1.7447,5,1800.0,Proxy: forage maize,3140.46,False,Related-crop proxy
Connectivity focused,Bouwland,Haver ,238,1.5764,1,1630.0,WUR SO-2020,2569.53,True,Direct crop match
Connectivity focused,Bouwland,"Bonen, veld- (onder andere duiven-, paarden-, wierbonen) ",311,1.1535,3,1800.0,Area-weighted median proxy for Bouwland,2076.3,False,Category-median proxy
Connectivity focused,Bouwland,"Bieten, voeder-",257,1.0915,2,1800.0,Proxy: forage maize,1964.7,False,Related-crop proxy
Connectivity focused,Grasland,Agrarisch natuurmengsel,1926,0.9613,25,4360.0,WUR SO-2020,4191.27,True,Direct crop match
Connectivity focused,Bouwland,Kerstbomen,796,0.8009,1,1800.0,Area-weighted median proxy for Bouwland,1441.62,False,Category-median proxy
Connectivity focused,Bouwland,Erwten (droog te oogsten),308,0.4161,3,1800.0,Area-weighted median proxy for Bouwland,748.98,False,Category-median proxy
Connectivity focused,Landschapselement,Bosje,2642,0.4109,11,0.0,Non-productive landscape element,0.0,True,Direct crop match
Connectivity focused,Overige,"Bos, blijvend, met herplantplicht ",1936,0.3781,8,0.0,Non-productive land assumption,0.0,False,Zero-output class
Connectivity focused,Landschapselement,Bossingel ,2619,0.3203,13,0.0,Non-productive landscape element,0.0,True,Direct crop match
Connectivity focused,Bouwland,"Bonen, tuin- (groen te oogsten) ",854,0.2924,1,1800.0,Area-weighted median proxy for Bouwland,526.32,False,Category-median proxy
Connectivity focused,Landschapselement,Poel en klein historisch water,2620,0.2882,9,0.0,Non-productive landscape element,0.0,True,Direct crop match
Connectivity focused,Grasland,"Grasland, natuurlijk. Hoofdfunctie natuur.",332,0.2403,4,0.0,WUR SO-2020: no production,0.0,True,Direct crop match
Connectivity focused,Landschapselement,Stroken wild gras,6807,0.2345,11,0.0,Non-productive landscape element,0.0,True,Direct crop match
Connectivity focused,Landschapselement,Boomgroep,2617,0.2264,12,0.0,Non-productive landscape element,0.0,True,Direct crop match
Connectivity focused,Landschapselement,Struweelrand,2629,0.1729,4,0.0,Non-productive landscape element,0.0,True,Direct crop match
Connectivity focused,Landschapselement,Hakhoutbosje,2630,0.1512,2,0.0,Non-productive landscape element,0.0,True,Direct crop match
Connectivity focused,Landschapselement,"Landschapselement, overig",2638,0.133,3,0.0,Non-productive landscape element,0.0,True,Direct crop match
Connectivity focused,Bouwland,"Klaver, rode, klaverzaad",6763,0.1201,2,1800.0,Area-weighted median proxy for Bouwland,216.18,False,Category-median proxy
Connectivity focused,Landschapselement,Struweelhaag,2625,0.0806,2,0.0,Non-productive landscape element,0.0,True,Direct crop match
Connectivity focused,Landschapselement,Elzensingel,2622,0.0738,7,0.0,Non-productive landscape element,0.0,True,Direct crop match
Connectivity focused,Bouwland,"Aardbeien open grond, productie",2702,0.0644,1,1800.0,Area-weighted median proxy for Bouwland,115.92,False,Category-median proxy
Connectivity focused,Bouwland,"Overige bloemen, overige bloemkwekerijgewassen",991,0.0591,1,1800.0,Area-weighted median proxy for Bouwland,106.38,False,Category-median proxy
Connectivity focused,Landschapselement,Ruigtes op landbouwpercelen,6800,0.0477,5,0.0,Non-productive landscape element,0.0,True,Direct crop match
Connectivity focused,Bouwland,Bos zonder herplantplicht ,863,0.0419,4,1800.0,Area-weighted median proxy for Bouwland,75.42,False,Category-median proxy
Connectivity focused,Landschapselement,Schouwpad,6801,0.0254,1,0.0,Non-productive landscape element,0.0,True,Direct crop match
Connectivity focused,Landschapselement,Laan,2626,0.0243,1,0.0,Non-productive landscape element,0.0,True,Direct crop match
Connectivity focused,Landschapselement,Natuurvriendelijke oever,2634,0.004,1,0.0,Non-productive landscape element,0.0,True,Direct crop match
Dispersed,Grasland,"Grasland, blijvend ",265,546.9045,8001,1250.0,WUR SO-2020,683630.62,True,Direct crop match
Dispersed,Bouwland,"Mais, snij-",259,186.4051,2422,1800.0,WUR SO-2020,335529.18,True,Direct crop match
Dispersed,Grasland,"Grasland, tijdelijk ",266,173.4567,2413,1250.0,WUR SO-2020,216820.88,True,Direct crop match
Dispersed,Bouwland,"Aardappelen, zetmeel ",2017,10.1523,98,4030.0,WUR SO-2020,40913.77,True,Direct crop match
Dispersed,Bouwland,"Aardappelen, consumptie",2014,10.0373,96,8620.0,WUR SO-2020,86521.53,True,Direct crop match
Dispersed,Landschapselement,Sloot,343,9.8816,2661,0.0,Non-productive landscape element,0.0,True,Direct crop match
Dispersed,Bouwland,"Lelie, bloembollen en -knollen",1002,7.6717,67,36000.0,WUR SO-2020,276181.2,True,Direct crop match
Dispersed,Bouwland,"Bieten, suiker-",256,7.5981,58,3440.0,WUR SO-2020,26137.46,True,Direct crop match
Dispersed,Bouwland,"Mais, corncob mix ",317,7.0442,70,1430.0,WUR SO-2020,10073.21,True,Direct crop match
Dispersed,Landschapselement,Houtwal en houtsingel,2621,5.1185,680,0.0,Non-productive landscape element,0.0,True,Direct crop match
Dispersed,Bouwland,"Mais, korrel-",316,4.5326,62,1680.0,WUR SO-2020,7614.77,True,Direct crop match
Dispersed,Bouwland,"Gerst, zomer-",236,3.9539,49,1530.0,WUR SO-2020,6049.47,False,Direct crop match
Dispersed,Bouwland,"Uien, gele zaai-",6660,3.8115,31,8100.0,WUR SO-2020,30873.15,True,Direct crop match
Dispersed,Bouwland,"Gerst, winter-",235,3.6244,46,1950.0,WUR SO-2020,7067.58,False,Direct crop match
Dispersed,Bouwland,"Tarwe, zomer-",234,3.4116,45,1810.0,WUR SO-2020,6175.0,False,Direct crop match
Dispersed,Bouwland,"Aardappelen, poot NAK",2015,3.3519,29,11700.0,WUR SO-2020,39217.23,True,Direct crop match
Dispersed,Bouwland,"Tarwe, winter-",233,2.5958,29,2390.0,WUR SO-2020,6203.96,False,Direct crop match
Dispersed,Bouwland,"Uien, poot en plant, 1e jaars ",1932,2.3658,17,8100.0,Proxy: field onions,19162.98,False,Related-crop proxy
Dispersed,Bouwland,Luzerne ,258,2.2462,37,1050.0,WUR SO-2020,2358.51,True,Direct crop match
Dispersed,Bouwland,"Rogge, korrelgewas",7130,2.2219,30,1160.0,WUR SO-2020,2577.4,True,Direct crop match
Dispersed,Bouwland,Triticale ,314,1.7609,16,1280.0,WUR SO-2020,2253.95,True,Direct crop match
Dispersed,Bouwland,Sedum,6802,1.5664,10,1800.0,Area-weighted median proxy for Bouwland,2819.52,False,Category-median proxy
Dispersed,Bouwland,"Bieten, voeder-",257,1.3101,18,1800.0,Proxy: forage maize,2358.18,False,Related-crop proxy
Dispersed,Bouwland,Soedangras/Sorghum,3519,1.2018,14,1800.0,Proxy: forage maize,2163.24,False,Related-crop proxy
Dispersed,Bouwland,"Vaste planten, open grond",1080,1.1323,6,1800.0,Area-weighted median proxy for Bouwland,2038.14,False,Category-median proxy
Dispersed,Bouwland,"Italiaans raaigras, groenbemesting, vanggewas",6755,1.0017,22,0.0,WUR SO-2020: no production,0.0,True,Direct crop match
Dispersed,Bouwland,"Groene braak, spontane opkomst",6794,0.9428,129,0.0,WUR SO-2020: no production,0.0,True,Direct crop match
Dispersed,Grasland,"Grasland, natuurlijk. Met landbouwactiviteiten. ",331,0.8801,117,374.0,WUR SO-2020,329.16,True,Direct crop match
Dispersed,Bouwland,"Italiaans raaigras, graszaad",6754,0.8535,8,1050.0,Proxy: forage crop,896.18,False,Related-crop proxy
Dispersed,Bouwland,"Hennep, vezel-",944,0.7999,8,1800.0,Area-weighted median proxy for Bouwland,1439.82,False,Category-median proxy
Dispersed,Bouwland,"Uien, rode zaai-",6664,0.7697,7,8100.0,WUR SO-2020,6234.57,True,Direct crop match
Dispersed,Grasland,Agrarisch natuurmengsel,1926,0.7441,95,4360.0,WUR SO-2020,3244.28,True,Direct crop match
Dispersed,Landschapselement,Bosje,2642,0.7385,74,0.0,Non-productive landscape element,0.0,True,Direct crop match
Dispersed,Natuurterrein,Natuurterreinen (incl. heide),335,0.548,55,0.0,Non-productive land assumption,0.0,False,Zero-output class
Dispersed,Bouwland,"Granen, overig",2652,0.5057,12,1530.0,Proxy: summer barley,773.72,False,Related-crop proxy
Dispersed,Bouwland,"Pioenroos, vermeerdering",1054,0.484,4,1800.0,Area-weighted median proxy for Bouwland,871.2,False,Category-median proxy
Dispersed,Bouwland,Haver ,238,0.4459,7,1630.0,WUR SO-2020,726.82,True,Direct crop match
Dispersed,Bouwland,Graszoden ,1921,0.4358,7,1800.0,Area-weighted median proxy for Bouwland,784.44,False,Category-median proxy
Dispersed,Bouwland,"Valeriaan, productie",1019,0.4339,3,1800.0,Area-weighted median proxy for Bouwland,781.02,False,Category-median proxy
Dispersed,Bouwland,Erwten (droog te oogsten),308,0.4224,6,1800.0,Area-weighted median proxy for Bouwland,760.32,False,Category-median proxy
Dispersed,Bouwland,"Aardappelen, poot TBM",2016,0.4032,5,6000.0,WUR SO-2020,2419.2,True,Direct crop match
Dispersed,Bouwland,"Gladiool, bloembollen en - knollen",998,0.3865,3,1800.0,Area-weighted median proxy for Bouwland,695.7,False,Category-median proxy
Dispersed,Bouwland,Maiskolvensilage,1935,0.3547,6,1800.0,Area-weighted median proxy for Bouwland,638.46,False,Category-median proxy
Dispersed,Bouwland,"Sierheesters en klimplanten, open grond",1075,0.3218,7,1800.0,Area-weighted median proxy for Bouwland,579.24,False,Category-median proxy
Dispersed,Bouwland,"Bonen, veld- (onder andere duiven-, paarden-, wierbonen) ",311,0.3198,5,1800.0,Area-weighted median proxy for Bouwland,575.64,False,Category-median proxy
Dispersed,Bouwland,"Winterpeen, productie",2785,0.3071,3,1800.0,Area-weighted median proxy for Bouwland,552.78,False,Category-median proxy
Dispersed,Landschapselement,Stroken wild gras,6807,0.3035,64,0.0,Non-productive landscape element,0.0,True,Direct crop match
Dispersed,Landschapselement,"Landschapselement, overig",2638,0.2813,37,0.0,Non-productive landscape element,0.0,True,Direct crop match
Dispersed,Bouwland,"Erwten, groene/gele (groen te oogsten)",244,0.2674,1,1800.0,Area-weighted median proxy for Bouwland,481.32,False,Category-median proxy
Dispersed,Overige,"Bos, blijvend, met herplantplicht ",1936,0.26,20,0.0,Non-productive land assumption,0.0,False,Zero-output class
Dispersed,Landschapselement,Bossingel ,2619,0.2478,26,0.0,Non-productive landscape element,0.0,True,Direct crop match
Dispersed,Landschapselement,Struweelrand,2629,0.2455,29,0.0,Non-productive landscape element,0.0,True,Direct crop match
Dispersed,Landschapselement,Struweelhaag,2625,0.2448,29,0.0,Non-productive landscape element,0.0,True,Direct crop match
Dispersed,Bouwland,"Bos- en haagplanten, open grond",1067,0.2313,3,1800.0,Area-weighted median proxy for Bouwland,416.34,False,Category-median proxy
Dispersed,Bouwland,"Stoksnijbonen en stokslabonen, productie",2781,0.2266,6,1800.0,Area-weighted median proxy for Bouwland,407.88,False,Category-median proxy
Dispersed,Bouwland,Miscanthus (olifantsgras) ,516,0.2236,6,1170.0,Proxy: energy maize,261.61,False,Related-crop proxy
Dispersed,Bouwland,"Laanbomen/parkbomen, opzetters, open grond",1071,0.2087,3,1800.0,Area-weighted median proxy for Bouwland,375.66,False,Category-median proxy
Dispersed,Landschapselement,Boomgroep,2617,0.1853,21,0.0,Non-productive landscape element,0.0,True,Direct crop match
Dispersed,Bouwland,Spelt,382,0.1848,2,1350.0,WUR SO-2020,249.48,True,Direct crop match
Dispersed,Bouwland,"Sierconiferen, open grond",1074,0.1709,5,1800.0,Area-weighted median proxy for Bouwland,307.62,False,Category-median proxy
Dispersed,Bouwland,"Klaver, rode, klaverzaad",6763,0.1452,3,1800.0,Area-weighted median proxy for Bouwland,261.36,False,Category-median proxy
Dispersed,Bouwland,Japanse haver,670,0.1386,2,1630.0,WUR SO-2020,225.92,True,Direct crop match
Dispersed,Bouwland,"Mais, energie-",2032,0.1371,1,1170.0,WUR SO-2020,160.41,True,Direct crop match
Dispersed,Bouwland,"Koolraap, productie",2737,0.1238,1,1800.0,Area-weighted median proxy for Bouwland,222.84,False,Category-median proxy
Dispersed,Bouwland,"Aardbeien op stellingen, productie",2706,0.1235,3,1800.0,Area-weighted median proxy for Bouwland,222.3,False,Category-median proxy
Dispersed,Bouwland,"Aardappelen, bestrijdingsmaatregel AM ",2025,0.1176,2,1800.0,Area-weighted median proxy for Bouwland,211.68,False,Category-median proxy
Dispersed,Bouwland,"Klaver, rode, groenbemesting, vanggewas",6762,0.1152,8,0.0,WUR SO-2020: no production,0.0,True,Direct crop match
Dispersed,Bouwland,Overige akkerbouwgewassen,1927,0.1147,1,1800.0,Area-weighted median proxy for Bouwland,206.46,False,Category-median proxy
Dispersed,Landschapselement,Hoogstamboomgaard,2628,0.1139,3,0.0,Non-productive landscape element,0.0,True,Direct crop match
Dispersed,Bouwland,"Lelie, overige bloemkwekerijgewassen",979,0.1113,1,36000.0,Proxy: lily production,4006.8,False,Related-crop proxy
Dispersed,Landschapselement,Schouwpad,6801,0.1061,20,0.0,Non-productive landscape element,0.0,True,Direct crop match
Dispersed,Bouwland,Bos zonder herplantplicht ,863,0.0989,6,1800.0,Area-weighted median proxy for Bouwland,178.02,False,Category-median proxy
Dispersed,Landschapselement,Poel en klein historisch water,2620,0.0908,13,0.0,Non-productive landscape element,0.0,True,Direct crop match
Dispersed,Bouwland,"Festulolium, graszaad",6752,0.0875,1,1800.0,Area-weighted median proxy for Bouwland,157.5,False,Category-median proxy
Dispersed,Bouwland,Wijndruiven,1099,0.0848,2,1800.0,Area-weighted median proxy for Bouwland,152.64,False,Category-median proxy
Dispersed,Bouwland,Appels. Aangeplant voorafgaande aan lopende seizoen.,1096,0.0835,3,1800.0,Area-weighted median proxy for Bouwland,150.3,False,Category-median proxy
Dispersed,Landschapselement,Knip- of scheerheg,2624,0.0765,19,0.0,Non-productive landscape element,0.0,True,Direct crop match
Dispersed,Bouwland,Drachtplanten,657,0.0705,3,1800.0,Area-weighted median proxy for Bouwland,126.9,False,Category-median proxy
Dispersed,Landschapselement,Natuurvriendelijke oever,2634,0.065,10,0.0,Non-productive landscape element,0.0,True,Direct crop match
Dispersed,Bouwland,"Koolzaad, winter (incl. boterzaad) ",1922,0.0625,1,1800.0,Area-weighted median proxy for Bouwland,112.5,False,Category-median proxy
Dispersed,Bouwland,"Pompoen, productie",2735,0.0625,1,1800.0,Area-weighted median proxy for Bouwland,112.5,False,Category-median proxy
Dispersed,Bouwland,"Vaste planten, pot- en containerteelt",1094,0.0625,1,1800.0,Area-weighted median proxy for Bouwland,112.5,False,Category-median proxy
Dispersed,Bouwland,Cichorei ,511,0.06,1,1800.0,Area-weighted median proxy for Bouwland,108.0,False,Category-median proxy
Dispersed,Bouwland,Zonnebloemen ,515,0.0596,1,1800.0,Area-weighted median proxy for Bouwland,107.28,False,Category-median proxy
Dispersed,Bouwland,Kerstbomen,796,0.0563,2,1800.0,Area-weighted median proxy for Bouwland,101.34,False,Category-median proxy
Dispersed,Bouwland,"Laanbomen/parkbomen, onderstammen, open grond",1070,0.0525,1,1800.0,Area-weighted median proxy for Bouwland,94.5,False,Category-median proxy
Dispersed,Bouwland,"Vruchtbomen, overig, open grond",1079,0.0488,2,1800.0,Area-weighted median proxy for Bouwland,87.84,False,Category-median proxy
Dispersed,Bouwland,Tagetes patula (Afrikaantje),347,0.0439,1,1800.0,Area-weighted median proxy for Bouwland,79.02,False,Category-median proxy
Dispersed,Landschapselement,Ruigtes op landbouwpercelen,6800,0.0432,10,0.0,Non-productive landscape element,0.0,True,Direct crop match
Dispersed,Bouwland,"Asperges, oppervlakte die productie oplevert",2710,0.0424,1,1800.0,Area-weighted median proxy for Bouwland,76.32,False,Category-median proxy
Dispersed,Bouwland,"Buxus, open grond",1068,0.0408,1,1800.0,Area-weighted median proxy for Bouwland,73.44,False,Category-median proxy
Dispersed,Landschapselement,"Water, overig",2639,0.0405,6,0.0,Non-productive landscape element,0.0,True,Direct crop match
Dispersed,Bouwland,"Knolvenkel/venkel, productie",2727,0.04,1,1800.0,Area-weighted median proxy for Bouwland,72.0,False,Category-median proxy
Dispersed,Landschapselement,Hakhoutbosje,2630,0.0375,6,0.0,Non-productive landscape element,0.0,True,Direct crop match
Dispersed,Landschapselement,Laan,2626,0.0355,5,0.0,Non-productive landscape element,0.0,True,Direct crop match
Dispersed,Bouwland,"Wikke, voeder-",803,0.0351,1,1050.0,Proxy: forage crop,36.85,False,Related-crop proxy
Dispersed,Grasland,"Grasland, natuurlijk. Hoofdfunctie natuur.",332,0.034,4,0.0,WUR SO-2020: no production,0.0,True,Direct crop match
Dispersed,Bouwland,Tagetes erecta (Afrikaantje),346,0.0338,2,1800.0,Area-weighted median proxy for Bouwland,60.84,False,Category-median proxy
Dispersed,Bouwland,"Asperges, zaden en opkweekmateriaal",2712,0.0325,1,1800.0,Area-weighted median proxy for Bouwland,58.5,False,Category-median proxy
Dispersed,Bouwland,"Overige niet genoemde groenten, productie",2793,0.0296,2,1800.0,Area-weighted median proxy for Bouwland,53.28,False,Category-median proxy
Dispersed,Braakland,"Tijdelijk onbeteelde grond, anders dan voor publieke werken",3802,0.0296,1,0.0,WUR SO-2020: no production,0.0,True,Direct crop match
Dispersed,Bouwland,"Bonen, tuin- (groen te oogsten) ",854,0.023,1,1800.0,Area-weighted median proxy for Bouwland,41.4,False,Category-median proxy
Dispersed,Bouwland,"Spinazie, zaden en opkweekmateriaal",2774,0.023,1,1800.0,Area-weighted median proxy for Bouwland,41.4,False,Category-median proxy
Dispersed,Overige,Wilgenhakhout,795,0.02,2,0.0,Area-weighted median proxy for Overige,0.0,False,Category-median proxy
Dispersed,Bouwland,"Pioenroos, overige bloemkwekerijgewassen",1025,0.0185,1,1800.0,Area-weighted median proxy for Bouwland,33.3,False,Category-median proxy
Dispersed,Bouwland,Peren. Aangeplant voorafgaande aan lopende seizoen.,1098,0.0177,1,1800.0,Area-weighted median proxy for Bouwland,31.86,False,Category-median proxy
Dispersed,Landschapselement,Elzensingel,2622,0.015,6,0.0,Non-productive landscape element,0.0,True,Direct crop match
Dispersed,Bouwland,"Overige groenbemesters, vlinderbloemige- ",426,0.0147,7,0.0,WUR SO-2020: no production,0.0,True,Direct crop match
Dispersed,Landschapselement,"Windhaag, in een perceel fruitteelt",2618,0.0139,2,0.0,Non-productive landscape element,0.0,True,Direct crop match
