scenario,category,gewas,gewascode,affected_area_ha,affected_features,so_euro_per_ha_year,coefficient_source,annual_standard_output_euro,coefficient_mapped,coefficient_method
Dispersed,Overige,Voedselbos,1940,0.0136,1,0.0,Non-productive land assumption,0.0,False,Zero-output class
Dispersed,Bouwland,"Overige gras, groenbemesting, vanggewas",7126,0.0116,2,0.0,WUR SO-2020: no production,0.0,True,Direct crop match
Dispersed,Bouwland,Gele mosterd,428,0.011,1,1800.0,Area-weighted median proxy for Bouwland,19.8,False,Category-median proxy
Dispersed,Overige,"Rand, liggend op bouwland en direct grenzend aan bos. Geen landbouwproductie.",338,0.0082,1,0.0,Non-productive land assumption,0.0,False,Zero-output class
Dispersed,Bouwland,"Mais, suiker-",814,0.0073,1,1800.0,Area-weighted median proxy for Bouwland,13.14,False,Category-median proxy
Dispersed,Bouwland,"Knolselderij, productie",2725,0.0071,1,1800.0,Area-weighted median proxy for Bouwland,12.78,False,Category-median proxy
Dispersed,Landschapselement,Voederhaag,6809,0.0068,3,0.0,Non-productive landscape element,0.0,True,Direct crop match
Dispersed,Bouwland,Bloemzaden open grond,174,0.0066,1,1800.0,Area-weighted median proxy for Bouwland,11.88,False,Category-median proxy
Dispersed,Landschapselement,Rietkraag/rietzoom,7128,0.006,3,0.0,Non-productive landscape element,0.0,True,Direct crop match
Dispersed,Bouwland,Appels. Aangeplant lopende seizoen.,1095,0.0045,1,1800.0,Area-weighted median proxy for Bouwland,8.1,False,Category-median proxy
Dispersed,Bouwland,"Asperges, oppervlakte die nog geen productie oplevert",2711,0.0041,1,1800.0,Area-weighted median proxy for Bouwland,7.38,False,Category-median proxy
Dispersed,Bouwland,Zonnekroon,656,0.0035,1,1800.0,Area-weighted median proxy for Bouwland,6.3,False,Category-median proxy
Integrated,Grasland,"Grasland, blijvend ",265,484.8632,748,1250.0,WUR SO-2020,606079.0,True,Direct crop match
Integrated,Bouwland,"Mais, snij-",259,215.2919,255,1800.0,WUR SO-2020,387525.42,True,Direct crop match
Integrated,Grasland,"Grasland, tijdelijk ",266,162.1187,215,1250.0,WUR SO-2020,202648.38,True,Direct crop match
Integrated,Bouwland,"Rogge, korrelgewas",7130,30.468,23,1160.0,WUR SO-2020,35342.88,True,Direct crop match
Integrated,Bouwland,"Aardappelen, zetmeel ",2017,25.2192,12,4030.0,WUR SO-2020,101633.38,True,Direct crop match
Integrated,Bouwland,"Aardappelen, consumptie",2014,18.6768,14,8620.0,WUR SO-2020,160994.02,True,Direct crop match
Integrated,Bouwland,"Uien, gele zaai-",6660,12.7641,6,8100.0,WUR SO-2020,103389.21,True,Direct crop match
Integrated,Landschapselement,Sloot,343,10.1102,534,0.0,Non-productive landscape element,0.0,True,Direct crop match
Integrated,Bouwland,"Bieten, suiker-",256,9.235,3,3440.0,WUR SO-2020,31768.4,True,Direct crop match
Integrated,Bouwland,"Mais, korrel-",316,8.7838,11,1680.0,WUR SO-2020,14756.78,True,Direct crop match
Integrated,Bouwland,"Aardappelen, poot NAK",2015,8.6101,4,11700.0,WUR SO-2020,100738.17,True,Direct crop match
Integrated,Grasland,"Grasland, natuurlijk. Met landbouwactiviteiten. ",331,7.6617,177,374.0,WUR SO-2020,2865.48,True,Direct crop match
Integrated,Bouwland,Luzerne ,258,6.9042,2,1050.0,WUR SO-2020,7249.41,True,Direct crop match
Integrated,Bouwland,"Mais, corncob mix ",317,6.8091,4,1430.0,WUR SO-2020,9737.01,True,Direct crop match
Integrated,Bouwland,Zoete aardappelen ,6632,5.1147,1,8620.0,Proxy: consumption potatoes,44088.71,False,Related-crop proxy
Integrated,Bouwland,"Lelie, bloembollen en -knollen",1002,4.9673,4,36000.0,WUR SO-2020,178822.8,True,Direct crop match
Integrated,Landschapselement,Houtwal en houtsingel,2621,4.7222,150,0.0,Non-productive landscape element,0.0,True,Direct crop match
Integrated,Bouwland,"Valeriaan, productie",1019,4.6434,1,1800.0,Area-weighted median proxy for Bouwland,8358.12,False,Category-median proxy
Integrated,Bouwland,"Uien, rode zaai-",6664,4.5887,2,8100.0,WUR SO-2020,37168.47,True,Direct crop match
Integrated,Bouwland,"Lelie, overige bloemkwekerijgewassen",979,4.3322,2,36000.0,Proxy: lily production,155959.2,False,Related-crop proxy
Integrated,Bouwland,"Gerst, zomer-",236,3.6891,5,1530.0,WUR SO-2020,5644.32,False,Direct crop match
Integrated,Bouwland,Erwten (droog te oogsten),308,3.363,6,1800.0,Area-weighted median proxy for Bouwland,6053.4,False,Category-median proxy
Integrated,Bouwland,"Tarwe, winter-",233,3.3172,2,2390.0,WUR SO-2020,7928.11,False,Direct crop match
Integrated,Natuurterrein,Natuurterreinen (incl. heide),335,2.7106,97,0.0,Non-productive land assumption,0.0,False,Zero-output class
Integrated,Bouwland,"Italiaans raaigras, groenbemesting, vanggewas",6755,2.5827,7,0.0,WUR SO-2020: no production,0.0,True,Direct crop match
Integrated,Bouwland,"Gerst, winter-",235,2.247,1,1950.0,WUR SO-2020,4381.65,False,Direct crop match
Integrated,Bouwland,"Groene braak, spontane opkomst",6794,1.8799,47,0.0,WUR SO-2020: no production,0.0,True,Direct crop match
Integrated,Bouwland,Miscanthus (olifantsgras) ,516,1.7824,4,1170.0,Proxy: energy maize,2085.41,False,Related-crop proxy
Integrated,Bouwland,Zonnekroon,656,1.7532,2,1800.0,Area-weighted median proxy for Bouwland,3155.76,False,Category-median proxy
Integrated,Bouwland,"Granen, overig",2652,1.7467,5,1530.0,Proxy: summer barley,2672.45,False,Related-crop proxy
Integrated,Grasland,Agrarisch natuurmengsel,1926,1.5827,33,4360.0,WUR SO-2020,6900.57,True,Direct crop match
Integrated,Bouwland,"Winterpeen, productie",2785,1.4118,1,1800.0,Area-weighted median proxy for Bouwland,2541.24,False,Category-median proxy
Integrated,Bouwland,"Bieten, voeder-",257,1.3561,3,1800.0,Proxy: forage maize,2440.98,False,Related-crop proxy
Integrated,Bouwland,Triticale ,314,1.2216,2,1280.0,WUR SO-2020,1563.65,True,Direct crop match
Integrated,Bouwland,"Hennep, vezel-",944,1.0699,1,1800.0,Area-weighted median proxy for Bouwland,1925.82,False,Category-median proxy
Integrated,Bouwland,"Aardappelen, poot TBM",2016,1.0129,1,6000.0,WUR SO-2020,6077.4,True,Direct crop match
Integrated,Overige,"Bos, blijvend, met herplantplicht ",1936,0.9381,12,0.0,Non-productive land assumption,0.0,False,Zero-output class
Integrated,Bouwland,Haver ,238,0.7449,1,1630.0,WUR SO-2020,1214.19,True,Direct crop match
Integrated,Landschapselement,Bosje,2642,0.728,18,0.0,Non-productive landscape element,0.0,True,Direct crop match
Integrated,Bouwland,"Wikke, voeder-",803,0.7151,1,1050.0,Proxy: forage crop,750.85,False,Related-crop proxy
Integrated,Landschapselement,Stroken wild gras,6807,0.493,23,0.0,Non-productive landscape element,0.0,True,Direct crop match
Integrated,Bouwland,"Klaver, rode, klaverzaad",6763,0.4467,1,1800.0,Area-weighted median proxy for Bouwland,804.06,False,Category-median proxy
Integrated,Landschapselement,Struweelrand,2629,0.3928,7,0.0,Non-productive landscape element,0.0,True,Direct crop match
Integrated,Landschapselement,Poel en klein historisch water,2620,0.3735,13,0.0,Non-productive landscape element,0.0,True,Direct crop match
Integrated,Landschapselement,Boomgroep,2617,0.3455,7,0.0,Non-productive landscape element,0.0,True,Direct crop match
Integrated,Bouwland,"Tarwe, zomer-",234,0.3241,2,1810.0,WUR SO-2020,586.62,False,Direct crop match
Integrated,Grasland,"Grasland, natuurlijk. Hoofdfunctie natuur.",332,0.2765,5,0.0,WUR SO-2020: no production,0.0,True,Direct crop match
Integrated,Landschapselement,Ruigtes op landbouwpercelen,6800,0.267,7,0.0,Non-productive landscape element,0.0,True,Direct crop match
Integrated,Bouwland,"Bonen, veld- (onder andere duiven-, paarden-, wierbonen) ",311,0.2422,1,1800.0,Area-weighted median proxy for Bouwland,435.96,False,Category-median proxy
Integrated,Bouwland,Overige akkerbouwgewassen,1927,0.2039,1,1800.0,Area-weighted median proxy for Bouwland,367.02,False,Category-median proxy
Integrated,Landschapselement,"Water, overig",2639,0.1518,10,0.0,Non-productive landscape element,0.0,True,Direct crop match
Integrated,Landschapselement,Bossingel ,2619,0.1278,6,0.0,Non-productive landscape element,0.0,True,Direct crop match
Integrated,Bouwland,"Rogge, groenbemesting, vanggewas",7131,0.1156,2,0.0,WUR SO-2020: no production,0.0,True,Direct crop match
Integrated,Landschapselement,Schouwpad,6801,0.0931,3,0.0,Non-productive landscape element,0.0,True,Direct crop match
Integrated,Landschapselement,Hakhoutbosje,2630,0.0893,1,0.0,Non-productive landscape element,0.0,True,Direct crop match
Integrated,Overige,"Rand, liggend op bouwland en direct grenzend aan bos. Geen landbouwproductie.",338,0.0856,1,0.0,Non-productive land assumption,0.0,False,Zero-output class
Integrated,Bouwland,"Overige bloemen, overige bloemkwekerijgewassen",991,0.0448,1,1800.0,Area-weighted median proxy for Bouwland,80.64,False,Category-median proxy
Integrated,Bouwland,Bos zonder herplantplicht ,863,0.036,3,1800.0,Area-weighted median proxy for Bouwland,64.8,False,Category-median proxy
Integrated,Bouwland,Soedangras/Sorghum,3519,0.0347,1,1800.0,Proxy: forage maize,62.46,False,Related-crop proxy
Integrated,Bouwland,"Bonen, tuin- (groen te oogsten) ",854,0.0329,1,1800.0,Area-weighted median proxy for Bouwland,59.22,False,Category-median proxy
Integrated,Landschapselement,"Landschapselement, overig",2638,0.0311,3,0.0,Non-productive landscape element,0.0,True,Direct crop match
Integrated,Landschapselement,Elzensingel,2622,0.023,1,0.0,Non-productive landscape element,0.0,True,Direct crop match
Integrated,Landschapselement,Struweelhaag,2625,0.0197,2,0.0,Non-productive landscape element,0.0,True,Direct crop match
Integrated,Bouwland,"Overige gras, groenbemesting, vanggewas",7126,0.0008,1,0.0,WUR SO-2020: no production,0.0,True,Direct crop match
Integrated,Landschapselement,Natuurvriendelijke oever,2634,0.0006,1,0.0,Non-productive landscape element,0.0,True,Direct crop match
Integrated,Landschapselement,Laan,2626,0.0002,1,0.0,Non-productive landscape element,0.0,True,Direct crop match
Patch enlargement,Grasland,"Grasland, blijvend ",265,416.8037,2336,1250.0,WUR SO-2020,521004.62,True,Direct crop match
Patch enlargement,Bouwland,"Mais, snij-",259,163.7449,737,1800.0,WUR SO-2020,294740.82,True,Direct crop match
Patch enlargement,Grasland,"Grasland, tijdelijk ",266,122.4478,657,1250.0,WUR SO-2020,153059.75,True,Direct crop match
Patch enlargement,Bouwland,"Rogge, korrelgewas",7130,25.4847,47,1160.0,WUR SO-2020,29562.25,True,Direct crop match
Patch enlargement,Grasland,"Grasland, natuurlijk. Met landbouwactiviteiten. ",331,25.218,514,374.0,WUR SO-2020,9431.53,True,Direct crop match
Patch enlargement,Landschapselement,Sloot,343,12.5618,1394,0.0,Non-productive landscape element,0.0,True,Direct crop match
Patch enlargement,Bouwland,"Groene braak, spontane opkomst",6794,11.181,256,0.0,WUR SO-2020: no production,0.0,True,Direct crop match
Patch enlargement,Landschapselement,Houtwal en houtsingel,2621,9.9133,463,0.0,Non-productive landscape element,0.0,True,Direct crop match
Patch enlargement,Grasland,Agrarisch natuurmengsel,1926,9.8194,232,4360.0,WUR SO-2020,42812.58,True,Direct crop match
Patch enlargement,Bouwland,"Aardappelen, consumptie",2014,8.7112,24,8620.0,WUR SO-2020,75090.54,True,Direct crop match
Patch enlargement,Bouwland,"Aardappelen, zetmeel ",2017,8.0455,16,4030.0,WUR SO-2020,32423.36,True,Direct crop match
Patch enlargement,Bouwland,"Mais, corncob mix ",317,7.6757,19,1430.0,WUR SO-2020,10976.25,True,Direct crop match
Patch enlargement,Bouwland,"Bieten, suiker-",256,7.164,19,3440.0,WUR SO-2020,24644.16,True,Direct crop match
Patch enlargement,Natuurterrein,Natuurterreinen (incl. heide),335,6.2111,172,0.0,Non-productive land assumption,0.0,False,Zero-output class
Patch enlargement,Bouwland,"Lelie, bloembollen en -knollen",1002,5.525,17,36000.0,WUR SO-2020,198900.0,True,Direct crop match
Patch enlargement,Bouwland,"Granen, overig",2652,5.3261,16,1530.0,Proxy: summer barley,8148.93,False,Related-crop proxy
Patch enlargement,Bouwland,"Gerst, zomer-",236,4.8347,27,1530.0,WUR SO-2020,7397.09,False,Direct crop match
Patch enlargement,Bouwland,Luzerne ,258,4.184,21,1050.0,WUR SO-2020,4393.2,True,Direct crop match
Patch enlargement,Bouwland,"Mais, korrel-",316,3.957,21,1680.0,WUR SO-2020,6647.76,True,Direct crop match
Patch enlargement,Bouwland,"Wikke, voeder-",803,2.865,4,1050.0,Proxy: forage crop,3008.25,False,Related-crop proxy
Patch enlargement,Bouwland,"Italiaans raaigras, groenbemesting, vanggewas",6755,2.3915,10,0.0,WUR SO-2020: no production,0.0,True,Direct crop match
Patch enlargement,Landschapselement,Bosje,2642,2.2081,71,0.0,Non-productive landscape element,0.0,True,Direct crop match
Patch enlargement,Bouwland,"Bieten, voeder-",257,2.1893,9,1800.0,Proxy: forage maize,3940.74,False,Related-crop proxy
Patch enlargement,Bouwland,Miscanthus (olifantsgras) ,516,2.1804,4,1170.0,Proxy: energy maize,2551.07,False,Related-crop proxy
Patch enlargement,Bouwland,"Tarwe, winter-",233,2.1581,10,2390.0,WUR SO-2020,5157.86,False,Direct crop match
Patch enlargement,Bouwland,"Uien, gele zaai-",6660,2.0305,6,8100.0,WUR SO-2020,16447.05,True,Direct crop match
Patch enlargement,Bouwland,Triticale ,314,1.9903,6,1280.0,WUR SO-2020,2547.58,True,Direct crop match
Patch enlargement,Bouwland,"Tarwe, zomer-",234,1.8262,11,1810.0,WUR SO-2020,3305.42,False,Direct crop match
Patch enlargement,Bouwland,"Sierconiferen, open grond",1074,1.7673,6,1800.0,Area-weighted median proxy for Bouwland,3181.14,False,Category-median proxy
Patch enlargement,Landschapselement,Stroken wild gras,6807,1.7521,73,0.0,Non-productive landscape element,0.0,True,Direct crop match
Patch enlargement,Bouwland,"Aardappelen, poot NAK",2015,1.7287,6,11700.0,WUR SO-2020,20225.79,True,Direct crop match
Patch enlargement,Bouwland,"Lelie, overige bloemkwekerijgewassen",979,1.6977,2,36000.0,Proxy: lily production,61117.2,False,Related-crop proxy
Patch enlargement,Bouwland,Erwten (droog te oogsten),308,1.5121,6,1800.0,Area-weighted median proxy for Bouwland,2721.78,False,Category-median proxy
Patch enlargement,Grasland,"Grasland, natuurlijk. Hoofdfunctie natuur.",332,1.3737,18,0.0,WUR SO-2020: no production,0.0,True,Direct crop match
Patch enlargement,Bouwland,"Gerst, winter-",235,1.3293,8,1950.0,WUR SO-2020,2592.13,False,Direct crop match
Patch enlargement,Bouwland,"Asperges, oppervlakte die productie oplevert",2710,1.1749,5,1800.0,Area-weighted median proxy for Bouwland,2114.82,False,Category-median proxy
Patch enlargement,Overige,"Bos, blijvend, met herplantplicht ",1936,1.1542,14,0.0,Non-productive land assumption,0.0,False,Zero-output class
Patch enlargement,Bouwland,"Koolraap, productie",2737,0.9886,1,1800.0,Area-weighted median proxy for Bouwland,1779.48,False,Category-median proxy
Patch enlargement,Bouwland,"Uien, poot en plant, 1e jaars ",1932,0.8012,3,8100.0,Proxy: field onions,6489.72,False,Related-crop proxy
Patch enlargement,Bouwland,Haver ,238,0.7273,1,1630.0,WUR SO-2020,1185.5,True,Direct crop match
Patch enlargement,Bouwland,"Bonen, veld- (onder andere duiven-, paarden-, wierbonen) ",311,0.7213,8,1800.0,Area-weighted median proxy for Bouwland,1298.34,False,Category-median proxy
Patch enlargement,Landschapselement,Struweelrand,2629,0.6677,30,0.0,Non-productive landscape element,0.0,True,Direct crop match
Patch enlargement,Bouwland,Sedum,6802,0.6213,3,1800.0,Area-weighted median proxy for Bouwland,1118.34,False,Category-median proxy
Patch enlargement,Landschapselement,Poel en klein historisch water,2620,0.6149,42,0.0,Non-productive landscape element,0.0,True,Direct crop match
Patch enlargement,Landschapselement,Bossingel ,2619,0.5694,25,0.0,Non-productive landscape element,0.0,True,Direct crop match
Patch enlargement,Bouwland,"Mais, energie-",2032,0.5333,1,1170.0,WUR SO-2020,623.96,True,Direct crop match
Patch enlargement,Bouwland,Drachtplanten,657,0.4861,6,1800.0,Area-weighted median proxy for Bouwland,874.98,False,Category-median proxy
Patch enlargement,Bouwland,"Aardbeien op stellingen, productie",2706,0.4405,1,1800.0,Area-weighted median proxy for Bouwland,792.9,False,Category-median proxy
Patch enlargement,Landschapselement,Boomgroep,2617,0.4377,19,0.0,Non-productive landscape element,0.0,True,Direct crop match
Patch enlargement,Bouwland,Japanse haver,670,0.4083,1,1630.0,WUR SO-2020,665.53,True,Direct crop match
Patch enlargement,Bouwland,Zonnekroon,656,0.4061,3,1800.0,Area-weighted median proxy for Bouwland,730.98,False,Category-median proxy
Patch enlargement,Landschapselement,Ruigtes op landbouwpercelen,6800,0.3947,20,0.0,Non-productive landscape element,0.0,True,Direct crop match
Patch enlargement,Landschapselement,Hakhoutbosje,2630,0.3346,8,0.0,Non-productive landscape element,0.0,True,Direct crop match
Patch enlargement,Landschapselement,Struweelhaag,2625,0.3318,17,0.0,Non-productive landscape element,0.0,True,Direct crop match
Patch enlargement,Bouwland,"Italiaans raaigras, graszaad",6754,0.3235,3,1050.0,Proxy: forage crop,339.68,False,Related-crop proxy
Patch enlargement,Bouwland,"Pioenroos, vermeerdering",1054,0.2901,1,1800.0,Area-weighted median proxy for Bouwland,522.18,False,Category-median proxy
Patch enlargement,Landschapselement,Natuurvriendelijke oever,2634,0.2706,13,0.0,Non-productive landscape element,0.0,True,Direct crop match
Patch enlargement,Bouwland,Soedangras/Sorghum,3519,0.2661,3,1800.0,Proxy: forage maize,478.98,False,Related-crop proxy
Patch enlargement,Bouwland,Bos zonder herplantplicht ,863,0.2657,11,1800.0,Area-weighted median proxy for Bouwland,478.26,False,Category-median proxy
Patch enlargement,Bouwland,Spelt,382,0.2413,3,1350.0,WUR SO-2020,325.76,True,Direct crop match
Patch enlargement,Landschapselement,Rietkraag/rietzoom,7128,0.2322,7,0.0,Non-productive landscape element,0.0,True,Direct crop match
Patch enlargement,Bouwland,"Hennep, vezel-",944,0.223,1,1800.0,Area-weighted median proxy for Bouwland,401.4,False,Category-median proxy
Patch enlargement,Bouwland,"Laanbomen/parkbomen, opzetters, open grond",1071,0.2205,1,1800.0,Area-weighted median proxy for Bouwland,396.9,False,Category-median proxy
Patch enlargement,Bouwland,"Pompoen, productie",2735,0.2199,1,1800.0,Area-weighted median proxy for Bouwland,395.82,False,Category-median proxy
Patch enlargement,Bouwland,"Klaver, rode, klaverzaad",6763,0.2069,2,1800.0,Area-weighted median proxy for Bouwland,372.42,False,Category-median proxy
Patch enlargement,Landschapselement,"Landschapselement, overig",2638,0.1927,9,0.0,Non-productive landscape element,0.0,True,Direct crop match
Patch enlargement,Bouwland,"Gladiool, bloembollen en - knollen",998,0.1858,1,1800.0,Area-weighted median proxy for Bouwland,334.44,False,Category-median proxy
Patch enlargement,Bouwland,Graszoden ,1921,0.1463,1,1800.0,Area-weighted median proxy for Bouwland,263.34,False,Category-median proxy
Patch enlargement,Bouwland,Maiskolvensilage,1935,0.1234,1,1800.0,Area-weighted median proxy for Bouwland,222.12,False,Category-median proxy
Patch enlargement,Bouwland,"Uien, rode zaai-",6664,0.11,1,8100.0,WUR SO-2020,891.0,True,Direct crop match
Patch enlargement,Landschapselement,Laan,2626,0.1078,7,0.0,Non-productive landscape element,0.0,True,Direct crop match
Patch enlargement,Bouwland,"Vaste planten, open grond",1080,0.103,1,1800.0,Area-weighted median proxy for Bouwland,185.4,False,Category-median proxy
Patch enlargement,Bouwland,"Overige gras, groenbemesting, vanggewas",7126,0.0944,6,0.0,WUR SO-2020: no production,0.0,True,Direct crop match
Patch enlargement,Landschapselement,Schouwpad,6801,0.0916,8,0.0,Non-productive landscape element,0.0,True,Direct crop match
Patch enlargement,Braakland,"Tijdelijk onbeteelde grond, anders dan voor publieke werken",3802,0.0908,3,0.0,WUR SO-2020: no production,0.0,True,Direct crop match
Patch enlargement,Bouwland,"Stoksnijbonen en stokslabonen, productie",2781,0.082,2,1800.0,Area-weighted median proxy for Bouwland,147.6,False,Category-median proxy
Patch enlargement,Overige,Voedselbos,1940,0.0789,1,0.0,Non-productive land assumption,0.0,False,Zero-output class
Patch enlargement,Bouwland,Snijgroen,1876,0.0673,1,1800.0,Area-weighted median proxy for Bouwland,121.14,False,Category-median proxy
Patch enlargement,Landschapselement,Knip- of scheerheg,2624,0.0572,6,0.0,Non-productive landscape element,0.0,True,Direct crop match
Patch enlargement,Landschapselement,"Water, overig",2639,0.0534,8,0.0,Non-productive landscape element,0.0,True,Direct crop match
Patch enlargement,Landschapselement,Schurvelingen en zandwallen,2637,0.048,1,0.0,Non-productive landscape element,0.0,True,Direct crop match
Patch enlargement,Bouwland,Cichorei ,511,0.0378,1,1800.0,Area-weighted median proxy for Bouwland,68.04,False,Category-median proxy
Patch enlargement,Bouwland,Tagetes erecta (Afrikaantje),346,0.0365,1,1800.0,Area-weighted median proxy for Bouwland,65.7,False,Category-median proxy
Patch enlargement,Bouwland,"Overige groenbemesters, vlinderbloemige- ",426,0.0312,2,0.0,WUR SO-2020: no production,0.0,True,Direct crop match
Patch enlargement,Bouwland,"Overige bloemen, overige bloemkwekerijgewassen",991,0.0188,1,1800.0,Area-weighted median proxy for Bouwland,33.84,False,Category-median proxy
Patch enlargement,Landschapselement,Hoogstamboomgaard,2628,0.0122,1,0.0,Non-productive landscape element,0.0,True,Direct crop match
Patch enlargement,Bouwland,"Sierheesters en klimplanten, open grond",1075,0.0097,1,1800.0,Area-weighted median proxy for Bouwland,17.46,False,Category-median proxy
Patch enlargement,Bouwland,"Winterpeen, productie",2785,0.0095,1,1800.0,Area-weighted median proxy for Bouwland,17.1,False,Category-median proxy
Patch enlargement,Bouwland,"Klaver, witte, klaverzaad",6765,0.0081,2,1800.0,Area-weighted median proxy for Bouwland,14.58,False,Category-median proxy
Patch enlargement,Overige,Riet,6522,0.0055,2,0.0,Area-weighted median proxy for Overige,0.0,False,Category-median proxy
Patch enlargement,Landschapselement,Elzensingel,2622,0.0051,1,0.0,Non-productive landscape element,0.0,True,Direct crop match
Patch enlargement,Landschapselement,Griendje,2631,0.003,1,0.0,Non-productive landscape element,0.0,True,Direct crop match
Patch enlargement,Overige,"Rand, liggend op bouwland en direct grenzend aan bos. Geen landbouwproductie.",338,0.0001,1,0.0,Non-productive land assumption,0.0,False,Zero-output class
